ID	Volume	Index chapter	Mapped section	Mapped heading	Official question stem excerpt
OFFICIAL-115-1-L21-Q03	L21	ch01.md	1.1.7	考點補丁：統計語言模型與詞向量訓練（N-gram、Word2Vec、GloVe）	某工程師在建構搜尋引擎的詞向量模型時，語料庫規模達數十億 token，且包含 大量長尾詞彙（Long-tail Terms）。他在 Word2Vec 的 CBOW 與 Skip-gram 兩種訓 練策略之間進行選擇，需考量訓練效率與低頻詞表示品質之差異。下列何者最能 準確地反映兩者在此情境下的取捨？
OFFICIAL-115-1-L21-Q04	L21	ch01.md	1.1.3	三大預訓練架構的任務對位	某金融科技公司的工程師正在準備內部客服對話與交易紀錄文本，進行 BERT 模 型的預訓練，以提升模型對金融語境的理解能力，並採用遮蔽語言建模（Masked Language Model, MLM）作為訓練任務。請問 MLM 的核心訓練目標為何？
OFFICIAL-115-1-L21-Q05	L21	ch01.md	1.1.7	考點補丁：統計語言模型與詞向量訓練（N-gram、Word2Vec、GloVe）	某電商平台的工程師在開發商品評論情感分析系統時，發現使用 One-Hot 編碼無 法表達詞語之間的語意關係，且隨著詞彙表擴大，向量維度與記憶體需求快速增 加。工程師因此改用 Word2Vec 進行詞語表示。請問 Word2Vec 從根本上解決了 上述問題的哪項限制？
OFFICIAL-115-1-L21-Q11	L21	ch01.md	1.1.2	序列模型：三次躍遷	某工程師在分析 Transformer 架構時，發現自注意力機制（Self-Attention）能夠有 效提升模型對序列中長距離依賴關係的建模能力。請問 Self-Attention 的核心功能 為何？
OFFICIAL-114-2-L21-Q07	L21	ch02.md	2.1.3	IoU與 mAP	在企業導入的智慧監控系統中，模型以物件偵測（Object Detection）方式自動辨識影像中的人物與車輛。若評估指標採用平 均精確率（Mean Average Precision, mAP），其中 IoU （Intersection over Union）閾值設定較高時，代表下列哪一項意 義？
OFFICIAL-114-2-L21-Q08	L21	ch02.md	2.1.8	考點補丁：池化、Flatten、全域平均池化與 Softmax	關於 Softmax 與 Max-Pooling，下列敘述何者正確？
OFFICIAL-114-2-L21-Q34	L21	ch02.md	2.1.7	考點補丁：全景分割（Panoptic Segmentation）	在自駕車影像辨識系統中，開發團隊希望模型能同時辨識每個像素所 屬的物件類別（例如道路、建築、行人），又能區分出同類物件的不 同個體（例如多位行人）。此時最適合採用下列哪一項電腦視覺技 術？
OFFICIAL-115-1-L21-Q06	L21	ch02.md	2.1.1	四大視覺任務：輸出粒度階梯	某自駕車感知系統需要在同一張影像中同時完成道路、建築、行人的逐像素分類， 。工程師在 並且能夠區分畫面中兩名相鄰行人（標記為「行人#1」和「行人#2」） 選擇語義分割（Semantic Segmentation）與實例分割（Instance Segmentation）時， 請問兩者的根本差異為何？
OFFICIAL-115-1-L21-Q07	L21	ch02.md	2.1.1	四大視覺任務：輸出粒度階梯	某大型超市的防損系統需要即時偵測多名顧客各自手持的購物籃、手機與商品， 並需對每個物件進行精確區域標記（Pixel-level Mask） ，同時能區分畫面中不同個 。請問下列哪一項技術最適合此 體（即使不同顧客拿著相同商品，也需分別標記） 場景的需求？
OFFICIAL-115-1-L21-Q10	L21	ch02.md	2.1.4	偵測器選型	某工廠導入即時影像瑕疵偵測系統，需在高頻影像流中進行快速推論。工程師在 YOLO 與 Faster R-CNN 兩種物件偵測架構之間進行評估，請問下列哪一個針對 兩者在偵測流程設計上的差異最為正確？
OFFICIAL-115-1-L21-Q29	L21	ch02.md	2.1.6	考點補丁：類別激活圖（CAM）等 CV 可解釋性	某工程師為一套卷積神經網路（CNN）的醫療影像輔助診斷系統設計模型可解釋 性機制。該系統需滿足下列需求：
OFFICIAL-115-1-L21-Q32	L21	ch02.md	2.1.8	考點補丁：池化、Flatten、全域平均池化與 Softmax	某工程師正在實作一個 CNN 影像分類模型，在 PyTorch 中定義模型架構時，需 要在卷積擷取特徵後接上全連結層（Fully Connected Layer）進行分類。在模型程 式碼中，需要在卷積輸出與全連結層之間插入什麼操作？
OFFICIAL-115-1-L21-Q36	L21	ch02.md	2.1.2	CNN的三個結構性直覺	某公司希望開發一個工業零件瑕疵辨識分類模型，共有 10 個類別，但每類僅約 50 張人工標註影像（總計約 500 張）。由於標註成本高昂，短期內無法擴充資料 集。在此情境下，工程師需要在有限標註資料下建構高效能模型。請問下列哪一 種策略最為適合？
OFFICIAL-114-2-L21-Q17	L21	ch03.md	3.2.3	檢索增強生成（RAG）基本管線	在自然語言處理中，檢索增強生成（Retrieval-Augmented Generation, RAG）是一種結合語言模型與向量搜尋的技術，可有效 減少模型知識過時與產生幻覺的問題。若要建立一套高效能的 RAG 系 統，下列何者為在「檢索階段」最關鍵的挑戰？
OFFICIAL-114-2-L21-Q20	L21	ch03.md	3.1.6	考點補丁：生成模型的訓練與取樣調校（WGAN、取樣步數、CFG）	在使用生成對抗網路（GAN）進行人臉影像生成時，若出現「模式崩 潰」（Mode Collapse）現象，下列哪一種方法最常被用來有效解決此 問題？
OFFICIAL-114-2-L21-Q38	L21	ch03.md	3.1.6	考點補丁：生成模型的訓練與取樣調校（WGAN、取樣步數、CFG）	某影像設計團隊在使用 Stable Diffusion 生成 4K 級產品圖時，發現 影像邊緣與細節存在顆粒化與模糊現象。 若僅能在生成階段進行調整，希望提升畫面清晰度與紋理層次，同時 避免過度平滑，下列哪一項作法最適合？
OFFICIAL-114-2-L21-Q40	L21	ch03.md	3.1.6	考點補丁：生成模型的訓練與取樣調校（WGAN、取樣步數、CFG）	下列哪一項最正確地描述了 VAE（Variational Autoencoder）、GAN （Generative Adversarial Network）與擴散模型（Diffusion Model）在多模態潛在空間對齊（Latent Alignment）與生成策略上 的根本差異？
OFFICIAL-115-1-L21-Q02	L21	ch03.md	3.2.5	考點補丁：參數效率微調與災難性遺忘（LoRA、Prompt Tuning）	一家新創公司希望對 Llama3 70B 模型進行領域微調（Domain Fine-Tuning）以建 立企業專用助理，但 GPU 記憶體有限，無法支撐完整模型的反向傳播梯度計算。 工程師希望凍結（freeze）原模型權重、僅訓練少量額外參數的前提下，評估採用 LoRA（Low-Rank Adaptation）方案。請問 LoRA 在此場景下的主要優勢為何？
OFFICIAL-115-1-L21-Q13	L21	ch03.md	3.2.5	考點補丁：參數效率微調與災難性遺忘（LoRA、Prompt Tuning）	某公司評估兩種方案，將大型語言模型客製化為內部客服助理：方案 A 為提示微 ，在輸入端加入可學習的軟提示（Soft Prompt） 調（Prompt Tuning）                         ；方案 B 為傳 統微調（Fine-Tuning），以標註問答資料調整模型。兩方案最本質的技術差異為 何？
OFFICIAL-115-1-L21-Q14	L21	ch03.md	3.2.5	考點補丁：參數效率微調與災難性遺忘（LoRA、Prompt Tuning）	某工程師計劃將通用 LLM 在醫療問答語料上進行監督微調（Supervised Fine- ，但發生了災難性遺忘（Catastrophic Forgetting）問題。在計算資源 Tuning, SFT） 有限的情況下，工程師希望透過調整微調策略來緩解此問題。下列哪一種訓練設 計最能有效率地學習新任務的同時保留原有能力？
OFFICIAL-115-1-L21-Q15	L21	ch03.md	3.2.6	考點補丁：AI Agent——ReAct 與多代理人容錯	某企業建置一套多代理人（Multi-Agent）系統，由一個 Orchestrator Agent 負責任 務分配，多個 Worker Agent 分別執行網路搜尋、程式撰寫與結果彙整。若 Orchestrator 發現某 Worker Agent 回傳結果品質不符合預期，從系統容錯與任務 可靠性角度，下列哪一項機制最能確保整體任務仍能正確完成？
OFFICIAL-115-1-L21-Q16	L21	ch03.md	3.2.6	考點補丁：AI Agent——ReAct 與多代理人容錯	一位工程師正在實作一個 ReAct 框架的 AI Agent，該 Agent 需要回答「台灣目前 最大的電動車充電站營運商是哪間公司，以及其充電樁總數」。 115 年第一次 AI 應用規劃師-中級能力鑑定【公告試題】 第一科：人工智慧技術應用與規劃 考試日期：115 年 05 月 23 日
OFFICIAL-114-2-L21-Q21	L21	ch04.md	4.2.1	三類失效與處置	在多模態 AI 模型訓練或推論過程中，遇到某一模態資料缺失（例如 僅有影像資料但缺少文本說明），下列哪一種策略最有效維持模型效 能？ 114 年第二次 AI 應用規劃師-中級能力鑑定【公告試題】 第一科：人工智慧技術應用與規劃
OFFICIAL-114-2-L21-Q35	L21	ch04.md	4.1.2	對比式學習與共享嵌入空間	某媒體公司計畫導入 CLIP（Contrastive Language–Image Pre- training）模型，以協助大量影像自動標註與搜尋，並希望在無需新 增標訓資料的情況下，僅透過文字提示（Text Prompt）即可識別影 像內容。請問此應用情境中，CLIP 能夠達成的關鍵技術特性為何？
OFFICIAL-114-2-L21-Q50	L21	ch04.md	4.1.5	考點補丁：各模態的編碼器選型與跨模態對齊	某設計師使用公司內部建置的生成式 AI 工具製作行銷素材，並輸入 提示語（Prompt）：「請生成一張模特兒手持品牌飲料、背景為海邊夕 陽的照片」。系統能正確生成主要主題與場景，但輸出的圖像中，品 牌標誌顏色常有誤差，或人物手部姿勢顯得不自然。若從多模態生成 模型的技術機制分析，此現象最可能是下列哪一項原因所造成？
OFFICIAL-115-1-L21-Q17	L21	ch04.md	4.1.5	考點補丁：各模態的編碼器選型與跨模態對齊	某醫療新創公司正在開發一套「多模態患者風險評估系統」 資料來源：胸腔 X 光影像（影像模態）           ，以及心率與 、臨床診斷筆記（文字模態） 。工程師在進行各模態的特徵擷取模型選擇 血氧的時序感測資料（數值時序模態） 時，需為每種模態挑選最適合的模型架構。下列哪一組模型配置最符合三種模態 各自的資料特性？
OFFICIAL-115-1-L21-Q18	L21	ch04.md	4.1.5	考點補丁：各模態的編碼器選型與跨模態對齊	某醫院的 AI 研究團隊正在開發一套整合「CT 影像+電子病歷文本+基因序列」三 種模態資料的癌症預測模型。請問在此場景中採用「跨模態對齊（Cross-Modal Alignment）」技術主要解決什麼問題？
OFFICIAL-115-1-L21-Q50	L21	ch04.md	4.1.3	三種融合策略	某醫療團隊建立肺炎診斷系統，採用晚期融合（Late Fusion）策略，將胸腔 X 光 影像與病患問診文字分別進行預測後再整合結果。測試發現，當問診紀錄品質不 佳（如描述簡短或資訊缺漏）時，整體模型效能僅小幅下降。關於此現象，下列 何者最不可能為其原因？
OFFICIAL-114-2-L21-Q10	L21	ch05.md	5.1.6	考點補丁：效能評估的指標與比較實驗	如果希望同時兼顧「精確率（Precision）」和「召回率（Recall）」， 下列哪一個指標可以作為綜合評估的標準？ ；
OFFICIAL-114-2-L21-Q43	L21	ch05.md	5.1.6	考點補丁：效能評估的指標與比較實驗	某金融科技公司欲導入 AI 模型協助客服郵件自動分類（投訴、詢 問、表揚）。團隊同時考慮兩種模型設計： 方案 A（生成式路徑）：採用 VAE 建構潛在語意空間，再結合下游分 類器進行標籤預測； 方案 B（鑑別式路徑）：採用 BERT Classifier 直接根據輸入文本進 行監督式分類。 現有標註資料約 2,000 筆，資料分佈均勻但擴充成本高。若團隊希 望公平比較兩種模型的資料利用效率與泛化能力，下列哪一種實驗設
OFFICIAL-115-1-L21-Q08	L21	ch05.md	8.1.6	考點補丁：公告試題考過的延伸考點	某工程師訓練了一個皮膚病變二元分類模型（惡性/良性），在向臨床醫師報告模 型效能時，使用 ROC 曲線（Receiver Operating Characteristic Curve）進行呈現。 請問 ROC 曲線的橫軸（X 軸）與縱軸（Y 軸）分別代表哪些指標，且在醫療情境 中代表哪一種意義？ 115 年第一次 AI 應用規劃師-中級能力鑑定【公告試題】
OFFICIAL-115-1-L21-Q09	L21	ch05.md	5.1.6	考點補丁：效能評估的指標與比較實驗	某團隊在監控影像分類模型的線上效能時，透過儀表板呈現混淆矩陣（Confusion Matrix） ，以觀察模型預測結果與實際標籤的分佈情形。請問下列哪一項無法從混 淆矩陣中直接計算？
OFFICIAL-115-1-L21-Q19	L21	ch05.md	5.1.6	考點補丁：效能評估的指標與比較實驗	一家電商公司已將推薦系統 AI 模型上線三個月，業務主管要求專案團隊評估導 「因為 AUC 高達 0.91，模型表現優異，AI 入成效。團隊根據下圖數據得出結論： 導入成效良好。」請問此評估結論存在什麼根本問題？
OFFICIAL-115-1-L21-Q21	L21	ch05.md	5.1.7	考點補丁：LLM 使用成本的估算與降低	一位機器學習工程師正在優化公司內部的 RAG 法律文件問答系統。近期因營運 成本壓力，公司要求在不更換模型且不影響回答品質的前提下，將整體 token 成 本降低至目前的 60%，且目前成本主要集中於輸入 tokens。工程師在檢查系統後， 盤點出目前的使用情況如下： ◆使用模型：GPT-4o（輸入$5／1M tokens、輸出 $15／1M tokens） ◆每次查詢：將前 10 筆檢索文件區塊全部加入 Prompt（每塊約 600 tokens） ◆S
OFFICIAL-115-1-L21-Q20	L21	ch06.md	6.2.3	考點補丁：技術導入規劃的組合判斷	某電商公司計畫導入即時推薦系統，希望使用者進入網站後能在 100 毫秒內取得 推薦結果，且推薦結果需依據最新使用者行為進行調整。系統需支援每日約 50 萬 活躍使用者，尖峰時段每秒約 3,000 筆請求（QPS） 。目前公司已累積歷史購買紀 錄與瀏覽行為資料，並持續接收即時點擊流（Streaming Data）。IT 基礎架構採用 雲端環境，團隊配置為 2 名資料工程師與 1 名機器學習工程師。某工程師提出以 下導入規劃：
OFFICIAL-115-1-L21-Q23	L21	ch06.md	6.2.3	考點補丁：技術導入規劃的組合判斷	某製造業公司計劃將 AI 導入生產線瑕疵檢測流程，目前瑕疵樣本約 800 張（含 、正常樣本約 15,000 張，現有 IT 基礎設施為地端伺服器且無 GPU， 各類瑕疵類型） 且生產線環境需於地端即時完成推論，檢測需求為每片零件須在 100 毫秒內完成 檢測，且預算為中等、無法於短期內大規模採購硬體。工程師正在規劃第一階段 的 AI 導入方案，請問下列哪一種規劃最為合適？
OFFICIAL-114-2-L21-Q24	L21	ch07.md	7.1.4	考點補丁：對抗性攻擊與防禦	某金融機構的 AI 風控系統遭受對抗性攻擊，駭客透過對輸入特徵進 行微小但惡意的擾動，成功欺騙了模型。為了從根本上解決模型自身 對這類攻擊的脆弱性，下列何者並非針對此種攻擊型態的技術手段？
OFFICIAL-114-2-L21-Q25	L21	ch07.md	7.1.7	生成式 AI 的著作權風險預防	某企業部署生成式 AI 系統協助行銷與內容產出，但近期遭質疑部分 生成內容可能涉及著作權侵權。為降低企業在法律層面的潛在責任與 風險，下列哪一項策略最能有效預防侵權問題產生？ 114 年第二次 AI 應用規劃師-中級能力鑑定【公告試題】 第一科：人工智慧技術應用與規劃
OFFICIAL-114-2-L21-Q30	L21	ch07.md	7.1.5	考點補丁：不可否認性（雜湊＋數位簽章）	某銀行計劃將 AI 詐欺偵測模組整合至核心交易系統，主管機關要求 全流程必須符合金融監管對「不可否認性（Non-repudiation）」的資 訊安全規範，以確保日後能進行法務追蹤與稽核。下列哪一項措施最 能確保此要求的落實？
OFFICIAL-114-2-L21-Q49	L21	ch07.md	7.1.3	負責任 AI的五個可操作要素	某電商平台導入 AI 情感分析模型，用以自動偵測顧客評論中的負面 情緒並觸發客服機制。然而，上線後發現模型在面對不同語言或族群 書寫風格的評論時表現不一致，例如部分語氣強烈的正面評論被誤判 為負面，而禮貌但含批評意圖的評論卻被判為中性。若從技術與資料 治理的角度分析，下列哪一項描述不正確？
OFFICIAL-115-1-L21-Q25	L21	ch07.md	7.3.1	國際框架對照（僅供比較）	某企業欲將其 AI 輔助決策系統提交給外部稽核單位審查，並宣稱符合 NIST《AI （NIST AI RMF）中可驗證性（Verifiability）的要求。為讓第三方 風險管理框架》 稽核人員能獨立重現模型評估結果，下列哪一項技術實踐最直接符合此要求？
OFFICIAL-115-1-L21-Q26	L21	ch07.md	7.1.3	負責任 AI的五個可操作要素	某銀行導入一套 AI 授信審核系統，針對貸款申請人進行自動化決策。監理單位 要求系統必須符合負責任 AI（Responsible AI）原則，特別是對被拒絕的申請人提 115 年第一次 AI 應用規劃師-中級能力鑑定【公告試題】 第一科：人工智慧技術應用與規劃 考試日期：115 年 05 月 23 日
OFFICIAL-115-1-L21-Q27	L21	ch07.md	7.1.3	負責任 AI的五個可操作要素	某醫院計劃導入一套 AI 醫療影像診斷輔助系統，用於輔助放射科醫師判讀 CT 影 像。院方技術委員會討論在人命攸關且需確保最終臨床決策責任由人類承擔的情 境下，從系統設計架構層面，最關鍵的安全機制為何？
OFFICIAL-115-1-L21-Q28	L21	ch07.md	7.1.6	考點補丁：SHAP 值的解讀	一位資料科學家使用 XGBoost 建立信用風險評分模型，並使用 SHAP 解釋模型 對某申請人的預測結果。SHAP summary plot 顯示該樣本中「月收入」的 SHAP 值 「負債比率」為+1.8，其中 SHAP 值代表各特徵對模型輸出值的影響程度 為-2.3， 與方向。關於對 SHAP 值的解讀，下列敘述何者正確？ 「月收入」的 SHAP 值-2.3 代表該特徵使此申請人的違約預測機率降低了 2.3%；
OFFICIAL-115-1-L21-Q46	L21	ch07.md	7.3.2	國際隱私法規與資料主體權利	某醫院計劃建立混合雲 AI 平台：使用公有雲 GPU 叢集進行 CT 影像模型訓練， 但基於 HIPAA（Health Insurance Portability and Accountability Act）法規要求，患 者影像原始資料不得離開醫院院內環境。下列何者最符合「利用公有雲算力訓練 模型」與「不傳輸原始患者資料」雙重限制的技術方案？
OFFICIAL-114-2-L21-Q09	L21	ch08.md	8.1.6	考點補丁：公告試題考過的延伸考點	某企業在訓練生成式 AI 模型時，導入資料增強（Data Augmentation）技術以擴充訓練資料，但觀察到模型效能反而下降。 下列哪一項最可能的原因與對應改善策略最為正確？
OFFICIAL-114-2-L21-Q11	L21	ch08.md	8.1.6	考點補丁：公告試題考過的延伸考點	企業資料分析團隊使用 DBSCAN（Density-Based Spatial Clustering of Applications with Noise）演算法進行顧客行為分群，並希望模 型能自動區分主要群集與雜訊資料。 在此演算法中，決定聚類結果的兩個主要超參數為下列何者？
OFFICIAL-114-2-L21-Q12	L21	ch08.md	8.1.6	考點補丁：公告試題考過的延伸考點	某金融科技公司建立房價預測模型，使用多項特徵（如建坪、房齡、 樓層、總價等）進行線性迴歸分析（Linear Regression Analysis）。資料分析師發現多個特徵之間存在高度相關性，導致模 型係數不穩定、預測誤差上升。為解決此問題，下列哪一種方法最適 合？
OFFICIAL-114-2-L21-Q14	L21	ch08.md	8.1.6	考點補丁：公告試題考過的延伸考點	在調整模型超參數（Hyperparameters）時，若希望避免因過度調整 參數而導致過擬合，下列哪一種做法最有效提升模型的泛化能力？
OFFICIAL-114-2-L21-Q26	L21	ch08.md	8.1.6	考點補丁：公告試題考過的延伸考點	在房價預測任務中，若發現特徵如「房間數」與「坪數」存在高度多 重共線性（Multicollinearity），為降低共線性對模型參數估計的負 面影響，應優先選擇下列哪種模型？
OFFICIAL-114-2-L21-Q27	L21	ch08.md	8.1.6	考點補丁：公告試題考過的延伸考點	某企業需分析半結構化的系統日誌（JSON 格式），以提取關鍵的時序 特徵供故障預測模型使用。考量日誌結構複雜且包含巢狀欄位 （Nested Fields），下列哪一種策略最有效且實務可行？
OFFICIAL-114-2-L21-Q28	L21	ch08.md	8.1.4	類別編碼與特徵縮放	在一個同時包含連續型特徵與類別型特徵的資料集中，若希望透過適 當的特徵工程流程來提升模型整體表現，下列哪一種作法最為合適？
OFFICIAL-114-2-L21-Q36	L21	ch08.md	8.1.6	考點補丁：公告試題考過的延伸考點	某資料科學團隊在開發預測模型時，針對多種模型設定（如學習率、 114 年第二次 AI 應用規劃師-中級能力鑑定【公告試題】 第一科：人工智慧技術應用與規劃 考試日期：114 年 11 月 08 日 試題公告日期：114 年 11 月 20 日
OFFICIAL-114-2-L21-Q39	L21	ch08.md	8.1.6	考點補丁：公告試題考過的延伸考點	某企業的資料科學團隊利用 ARIMA 模型（AutoRegressive Integrated Moving Average Model）預測每週產品銷售量。模型建 立完成後，分析人員發現預測誤差隨時間呈現週期性波動，且自相關 函數（ACF）顯示殘差在多個時滯（Lag）上仍顯著不為零。根據上述 現象，最合理的模型診斷結論為何？
OFFICIAL-114-2-L21-Q41	L21	ch08.md	8.1.6	考點補丁：公告試題考過的延伸考點	在進行超參數調校（Hyperparameter Tuning）時，若直接在 K-Fold 交叉驗證（Cross-Validation）的資料上同時調整模型參數並評估效 能，最可能導致下列哪一種問題？
OFFICIAL-114-2-L21-Q44	L21	ch08.md	3.1.1	鑑別式與生成式的根本差異	某電信公司希望建立一個模型來預測顧客是否即將流失，並進一步模 擬不同促銷或服務策略下顧客的行為變化，以生成多樣化的虛擬樣本 資料進行 A/B 測試與行銷策略評估。若要同時兼顧預測與資料生成的 需求，最適合採用下列哪一種方法？
OFFICIAL-114-2-L21-Q45	L21	ch08.md	8.1.6	考點補丁：公告試題考過的延伸考點	進行影像分類任務時，研究團隊嘗試利用主成分分析（Principal Component Analysis, PCA）將輸入特徵從 1024 維降至 100 維，並將 降維後的資料輸入支持向量機（Support Vector Machine, SVM）模 型進行訓練。關於此作法，下列哪一項描述最為合理？ 114 年第二次 AI 應用規劃師-中級能力鑑定【公告試題】
OFFICIAL-114-2-L21-Q48	L21	ch08.md	8.1.6	考點補丁：公告試題考過的延伸考點	某數據工程師使用 DBSCAN 演算法對一份數百萬筆的高維顧客資料進 行聚類分析，但發現程式執行速度極慢，甚至出現記憶體不足的情 況。若要在不改變演算法核心邏輯的前提下，最有效提升其運算效率 的作法為何？
OFFICIAL-115-1-L21-Q12	L21	ch08.md	8.1.6	考點補丁：公告試題考過的延伸考點	某工程師在設計一個二元分類器（Binary Classifier）時，考慮在輸出層使用 Sigmoid 函數。請問 Sigmoid 函數的主要特性與限制為何？
OFFICIAL-115-1-L21-Q30	L21	ch08.md	8.1.6	考點補丁：公告試題考過的延伸考點	某資料科學家正在處理一份包含 200 個感測器特徵的工廠設備監測資料集，為了 ， 降低模型複雜度並保留主要變異資訊，他先對資料進行標準化（Standardization） 再使用主成分分析（PCA）進行降維。在 PCA 過程中，為了找出能最大化資料變 異量的主成分方向，演算法主要依賴哪一項數學操作？
OFFICIAL-115-1-L21-Q31	L21	ch08.md	8.1.6	考點補丁：公告試題考過的延伸考點	某資料工程師嘗試對包含 300 個特徵的使用者行為資料集使用 DBSCAN 進行群 集分析，但發現幾乎所有資料點都被判定為雜訊點（Noise Points），難以形成有 意義的群集，即使不斷調整ε（Epsilon）與 MinPts 參數也無濟於事。請問下列何 者為此問題最可能的根本原因？
OFFICIAL-115-1-L21-Q33	L21	ch08.md	8.1.6	考點補丁：公告試題考過的延伸考點	某自駕車公司的 AI 訓練團隊面臨標註成本高的問題，無法取得足夠的真實惡劣 天氣（大雨、濃霧）駕駛場景資料，工程師提議使用合成資料（Synthetic Data） 來補充訓練集。請問下列何者最能正確敘述合成資料在 AI 訓練中的角色？
OFFICIAL-115-1-L21-Q34	L21	ch08.md	8.1.6	考點補丁：公告試題考過的延伸考點	某廣告技術公司的點擊率（CTR）預測系統每天新增數百個用戶行為特徵（如新 ，特徵空間持續動態擴展。若採用傳統靜態模型每週批次重 廣告位、新設備類型） 訓一次，會導致嚴重的模型過期問題。為在特徵空間頻繁變化的情況下維持模型 即時準確度，最適合的模型架構方向為何？
OFFICIAL-115-1-L21-Q35	L21	ch08.md	8.1.5	模型選型決策表	某生物醫學研究機構正在建構一個整合「基因序列特徵」與「電子病歷文本特徵」 的疾病風險預測模型。由於高維數值特徵和語意文本特徵的性質差異顯著，請問 下列哪一種特徵處理與選擇策略最為合適？
OFFICIAL-115-1-L21-Q37	L21	ch08.md	8.1.6	考點補丁：公告試題考過的延伸考點	某製造廠開發產線瑕疵檢測模型時，資料集存在嚴重類別不平衡問題，其中良品 約占 99%，瑕疵品僅占 1%。若直接使用原始資料進行訓練，模型容易偏向預測 115 年第一次 AI 應用規劃師-中級能力鑑定【公告試題】 第一科：人工智慧技術應用與規劃 考試日期：115 年 05 月 23 日
OFFICIAL-115-1-L21-Q38	L21	ch08.md	8.1.3	離群值：不一定要刪除	某 IoT 平台接收工廠溫度感測器資料，發現在常態分佈（均值 25°C，標準差 2° C）的數萬筆紀錄中，出現數筆「999°C」的極端值，研判為感測器通訊錯誤（網 路封包延遲導致數值溢位）所致，且該異常數值在實際情況下不可能發生。在進 行模型訓練前的資料清洗階段，針對這類離群值，最適當的處理策略為何？
