評鑑內容代碼,指引有、書缺的主題,學習指引,指引頁碼,建議優先級
L23101,PMF／PDF、常見分佈、先驗／後驗／概似、參數估計（L23 讀者不讀 L22）,科目三,3-3、3-4、3-6、3-7,P1
L23102,NMF（勘誤條目）、LSA／主題模型、OLS 與偽逆、線性變換,科目三,3-9、3-10、3-14、3-15、3-16,P1
L23103,最佳化問題形式：目標函數、決策變數、可行域、凸性；收斂判準,科目三,3-18、3-19、3-20、3-26,P1
L23201,學習問題要素（特徵空間、假設空間）；強化學習：價值／策略、無模型／有模型,科目三,4-4、4-10,P1
L23202,線性迴歸五項假設、R² 與調整 R²、邏輯斯迴歸對數勝算（勘誤條目）,科目三,4-14、4-15、4-16、4-18、4-20、4-27,P1
L23202,XGBoost vs LightGBM（level-wise vs leaf-wise）、單純貝氏拉普拉斯平滑、SVR、One-vs-Rest,科目三,4-17、4-18、4-22、4-23、4-24、4-25,P1
L23202,關聯規則（Apriori、FP-Growth）、異常偵測（孤立森林、One-Class SVM）,科目三,4-48、4-49、4-50、4-51、4-52,P1
L23203,深度學習框架：TensorFlow/Keras、PyTorch、JAX/MXNet/PaddlePaddle（評鑑內容名稱含「框架」）,科目三,4-90、4-91、4-92,P0
L23203,感知器與線性可分／XOR、前向與反向傳播、連鎖律、計算圖,科目三,4-54、4-55、4-56、4-58、4-59、4-60,P0
L23203,自編碼器、CNN 經典架構（AlexNet、VGG、Inception、ResNet）、批次正規化 vs 層正規化,科目三,4-71、4-77、4-81、4-84、4-85、4-86,P1
L23301,Box-Cox 轉換、遞迴特徵消除（RFE）、滯後特徵,科目三,5-3、5-5、5-7、5-10,P1
L23401,資料盤點與分類、隱私影響評估（PIA）、風險矩陣、再識別模擬（指引本節主體；書本節主體是 ML 攻擊）,科目三,6-3、6-4、6-5、6-6、6-7、6-9,P0
L23401,匿名化技術（遮蔽、雜湊、泛化、分桶、擾動、k/l/t）與進階 PETs（書只在 L22404）,科目三,6-8、6-9、6-10、6-12,P0
L23402,指引的偏誤分類（內容、來源、製程、目標函數、正規化偏誤）、公平性工具（AIF360）、公平性治理機制,科目三,6-15、6-19、6-20、6-24、6-25、6-27,P1
